Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
9/1/15,1393,1483
9/2/15,1745,1867
9/3/15,1532,1627
9/4/15,1425,1512
9/5/15,826,770
9/6/15,466,425
9/7/15,1107,898
9/8/15,1733,1932
9/9/15,2070,2243
9/10/15,1961,2069
9/11/15,1863,1898
9/12/15,1178,1013
9/13/15,648,679
9/14/15,1615,1669
9/15/15,1795,1862
9/16/15,1782,1949
9/17/15,1160,1293
9/18/15,1461,1539
9/19/15,981,853
9/20/15,712,591
9/21/15,1824,1981
9/22/15,2190,2361
9/23/15,2270,2292
9/24/15,2086,2235
9/25/15,1314,1370
9/26/15,899,869
9/27/15,895,676
9/28/15,1907,1955
9/29/15,2097,2239
9/30/15,1992,2063